channel,target,headline,sentiment_gemini,sentiment_vader,sentiment_textblob
CNN,Biden,Biden takes a political risk with his invitation to Israeli officials,0.0,-0.2732,0.0
CNN,Biden,Biden seeks to reinvigorate diverse coalition in critical 2024 campaign swing out West,0.12,0.25,0.0
CNN,Biden,"Cyberattacks are hitting water systems throughout US, Biden officials warn governors",-0.1,-0.1027,0.0
CNN,Biden,First on CNN: Oversight Committee Democrats invite Giuliani associate Lev Parnas as witness for Biden impeachment hearing,0.0,0.1531,0.25
CNN,Trump,Ex-Trump aide heads to prison after historic contempt prosecution,-0.6,-0.8834,0.0
CNN,Trump,Real estate CEO says Trump could sell Mar-a-Lago ‘quickly’ to secure $464 million bond,0.0,0.34,0.30000000000000004
CNN,Trump,Trump says any Jewish person who votes for Democrats ‘hates their religion’ and ‘everything about Israel’,-0.9,0.0,0.0
CNN,Trump,Schumer slams Trump criticism of his Israel speech as ‘unadulterated antisemitism’,-0.2,-0.4404,0.4
CNN,Trump,Undocumented immigrant says Trump is ‘racist.’ Hear why he would vote for him if he could,0.0,0.0,0.0
CNN,Trump,Judge in classified documents case grapples with how Trump’s personal records claim could be explained to a jury,0.0,0.0,0.0
CNN,Trump,Ohio’s Republican Senate primary is a test for Trump,0.0,0.0,0.4
CNN,Trump,Pro-Trump lawyer arrested after court hearing about Dominion emails,0.0,-0.4767,0.0
CNN,Trump,Ex-White House press secretary: These properties would ‘devastate’ Trump the most if they were seized,-0.1,0.0,0.5
CNN,Trump,Trump tells Supreme Court that rejecting immunity claim ‘would be the end of the presidency as we know it’,-0.4,0.1531,0.0
CNN,Trump,Trump’s failure to secure a bond could put his New York properties on the chopping block,-0.5,-0.5859,0.07323232323232322
CNN,Trump,Michael Cohen reacts to ex-Trump aide Peter Navarro going to prison,0.0,-0.5106,0.0
CNN,Trump,Trump says altered photo of Princess of Wales ‘shouldn’t be a big deal’,0.0,0.0,0.0
CNN,Trump,Panic mode sets in for Trump as he faces deadline for massive bond,-0.25,-0.5106,0.0
CNN,Trump,Pro-Trump lawyer arrested after court hearing about leaked Dominion emails,-0.8,-0.6597,0.0
CNN,Trump,Ex-Trump aide Peter Navarro begins serving prison sentence after historic prosecution,-0.5,-0.7351,0.0
CNN,Trump,Trump can’t make $464 million bond in civil fraud case. Here’s what happens next,-0.2,-0.5859,0.0
CNN,Trump,Ex-Trump aide Peter Navarro begins serving prison sentence after historic contempt prosecution,-0.45,-0.875,0.0
CNN,Trump,Trump-endorsed Moreno wins Ohio GOP Senate primary,0.0,0.5719,0.35
CNN,Trump,Melania Trump teases potential return to the campaign trail,0.0,-0.296,0.0
CNN,Trump,Ex-Trump aide Peter Navarro heads to prison after historic contempt prosecution,-0.2,-0.8834,0.0
CNN,Trump,Pro-Trump lawyer released from DC jail after pledging to surrender in Michigan election-tampering case,0.0,0.0,-0.1
CNN,Trump,Legal consequences are humiliating when they arrive in Trump’s orbit,-0.6,-0.1779,0.2
CNN,Trump,Trump won’t stop inflating inflation\xa0numbers,-0.5,-0.296,0.0
CNN,Trump,Trump sues ABC News and George Stephanopoulos for defamation over Nancy Mace interview,0.0,0.0,0.0
CNN,Trump,Trump says he is ‘thinking in terms of’ backing 15-week federal abortion ban,0.0,-0.5423,0.0
CNN,Trump,Fact check: Trump falsely claims he isn’t allowed to appeal fraud ruling until he puts up big money,-1.0,-0.5859,-0.20000000000000004
CNN,Trump,Ex-Trump aide Peter Navarro begins serving prison sentence,-0.5,-0.4588,0.0
CNN,Trump,What properties would Trump need to sell to make bond?,0.0,0.0,0.0
FOX,Biden,Biden sweeps Tuesday's Democratic presidential primaries in four states,0.0,0.0,0.0
FOX,Biden,Sullivan rips reporter's question on Biden swearing as asking 'when did you stop beating your spouse?',-0.78,-0.7351,0.0
FOX,Biden,Biden awkwardly wanders off stage at Arizona campaign event as he 'couldn’t resist' a baby,-0.3,-0.3182,-0.6
FOX,Biden,Biden becoming increasingly frustrated and worried over re-election efforts: report,0.0,-0.6808,-0.12499999999999997
FOX,Biden,LAURA INGRAHAM: What is the Biden admin hiding over the Afghanistan withdrawal?,0.0,-0.2732,0.0
FOX,Biden,"DA crumbles to pressure, drops charges against Gold Star dad who heckled Biden at SOTU",0.0,-0.5106,0.0
FOX,Biden,"Congressman rips Biden's 'pattern of abandonment,' helps evacuate Americans from Haiti",0.0,0.3818,0.0
FOX,Biden,Biden abruptly wandered off stage after he noticed a baby in the crowd,0.0,0.0,-0.125
FOX,Biden,SCOTUS denies Biden admin's request to block Texas bill allowing state police to arrest migrants,0.0,-0.7964,-0.05
FOX,Biden,"Biden shows hypocrisy for 'concern' of 'Olympics on steroids,' event's founder says",0.0,0.0,0.0
FOX,Biden,How to square the circle in Biden's tale of two economies,0.0,0.0,0.0
FOX,Biden,"Obama, Pelosi to rally for Biden on Obamacare anniversary",0.0,0.0,0.0
FOX,Biden,Biden awkwardly wanders off stage at campaign event as he 'couldn’t resist' baby,0.0,-0.3182,-0.6
FOX,Biden,Biden\xa0looks\xa0for\xa0bogeymen\xa0to\xa0distract\xa0from\xa0Obama's\xa0opioid\xa0failures,0.0,0.0,0.0
FOX,Biden,America poised to witness what could be decisive blow in the unraveling of the Biden family 'scam' to get 'rich',0.0,0.4404,0.375
FOX,Biden,"Congressman helps 13 more Americans escape Haiti, takes swipe at Biden",0.0,0.5542,0.5
FOX,Biden,Public pressure forces DA to drop charges against Gold Star dad for outburst at Biden's SOTU address,0.0,-0.6597,0.0
FOX,Biden,"Biden becoming increasingly frustrated, concerned over re-election efforts: report",0.0,-0.5267,-0.12499999999999997
FOX,Biden,Biden appears to forget one of his granddaughters in Women's History Month shoutout,0.0,-0.2263,0.0
FOX,Biden,Supreme Court rules on Biden admin's request to block Texas immigration law,0.0,0.1779,0.0
FOX,Biden,"Congressman rips Biden's 'pattern of abandonment,' helps evacuate Americans from Haiti himself",0.0,0.3818,0.0
