channel,target,headline,sentiment_gemini,sentiment_vader,sentiment_textblob
CNN,Biden,Democratic senators have privately warned White House that votes aren’t there to confirm Biden’s Muslim judicial nominee,-0.3,-0.2732,0.0
CNN,Trump,Takeaways from the scathing ruling that allows DA Fani Willis to remain on the Trump election subversion case,-0.5,0.0,-0.6
CNN,Trump,Judge delays Trump hush money trial in New York,0.0,0.0,0.13636363636363635
CNN,Trump,Legal expert says what Fulton County prosecutor’s resignation means for Trump’s case,0.0,-0.1779,0.2
CNN,Trump,These former Trump officials say he shouldn’t be president again,-0.5,0.0,0.0
CNN,Trump,Sprawling conspiracy case against Trump and his 2020 allies will now proceed,-0.4,-0.5267,0.0
CNN,Trump,"After months marked by a flurry of court motions and hearings, the sprawling conspiracy case against Trump and his 2020 allies will now proceed",0.0,-0.5267,0.1
CNN,Trump,Judge rules Fani Willis can proceed with the Georgia election subversion case against Trump if the special prosecutor she hired and dated is removed,0.0,0.4019,0.35714285714285715
CNN,Trump,Judge rules Fani Willis can proceed with the Georgia election subversion case against Trump if the special prosecutor she hand-picked is removed,0.0,0.4019,0.35714285714285715
CNN,Trump,Takeaways from the hearing on Trump’s attempt to dismiss the mishandling classified documents charges,0.0,-0.2732,0.0
CNN,Trump,Georgia prosecutor in Trump election case resigns,0.0,-0.3182,0.0
CNN,Trump,Why Toobin finds it ‘outrageous’ the Manhattan DA is willing to delay Trump hush money trial,0.0,-0.3182,-0.375
CNN,Trump,Trump’s praise of dictators tells us all we need to know,-1.0,0.5574,0.0
CNN,Trump,Hear why Pence says he’s won’t endorse Donald Trump,-1.0,0.3182,0.0
CNN,Trump,New RNC memo gives details of merger with Trump campaign,0.0,0.0,0.13636363636363635
CNN,Trump,Breaking News: Judge delays Trump hush money trial in New York,0.0,0.0,0.13636363636363635
CNN,Trump,See Trump’s busy legal and election calendar in 1 chart,0.0,0.128,0.15000000000000002
CNN,Trump,Opinion: Trump’s praise of dictators tells us all we need to know,-0.6,0.5574,0.0
CNN,Trump,NY prosecutors tell judge they’re willing to delay Trump hush money trial until late April,0.0,-0.3182,-0.024999999999999994
CNN,Trump,Pence says he ‘cannot in good conscience’ endorse Trump,-0.65,0.6369,0.7
FOX,Biden,House GOP leaders target Biden energy policies in legislation blitz next week,0.0,0.2732,0.0
