channel,target,headline,sentiment_gemini,sentiment_vader,sentiment_textblob
CNN,Biden,Biden called immediate ceasefire ‘essential’ in call with Netanyahu,0.0,0.0,0.0
CNN,Biden,"Biden furious over deaths of World Central Kitchen workers, but White House has no plans to change Israel policy",-0.5,-0.631,0.0
CNN,Biden,"Netanyahu told Biden that deaths of World Central Kitchen workers were Israel’s fault, US official says",-0.5,-0.4019,0.0
CNN,Biden,US awaits Netanyahu’s response after Biden’s ultimatum,0.0,0.0772,0.0
CNN,Biden,The backdrop to a call between Biden and the Israeli leader is US fury over the killings of seven aid workers in Gaza,-0.6,-0.8481,0.0
CNN,Biden,Biden to Netanyahu: Protect civilians or else,-0.5,0.3818,0.0
CNN,Biden,Decision comes as Biden tells Netanyahu the overall humanitarian situation in Gaza is unacceptable,0.0,-0.4588,0.0
CNN,Biden,‘The Atlantic’ writer weighs in on Biden’s foreign policy ‘pattern’,0.0,0.0,-0.125
CNN,Biden,Biden ‘underscored that an immediate ceasefire is essential’ during call with Netanyahu,0.374,0.0,0.0
CNN,Biden,A sustained Israeli pivot will be needed to ease criticism of Netanyahu and to mitigate Biden’s own domestic political exposure,0.0,-0.1027,0.19999999999999998
CNN,Biden,Biden and Netanyahu speak for the first time since Israeli strike killed aid workers in Gaza,-0.2,-0.7184,0.024999999999999994
CNN,Biden,Biden and Netanyahu call comes amid extreme mutual tensions,-0.1,-0.4019,-0.125
CNN,Biden,"Amanpour breaks down what Biden, Netanyahu call will likely entail",0.0,0.0,-0.07777777777777779
CNN,Biden,CNN sues for access to tape of Biden’s interview with investigators in classified docs probe,-0.627,0.0,0.0
CNN,Biden,Biden administration points finger at Republicans for internet bill hikes,0.0,0.0,0.0
CNN,Biden,"Jill Biden privately expressed concern about Gaza to Joe Biden, president reveals in\xa0meeting with Muslim leaders",0.0,0.0,0.0
CNN,Biden,"Jill Biden privately expressed concern about Gaza to Joe Biden, president reveals",0.0,0.0,0.0
CNN,Trump,Trump’s bid to dismiss criminal charges in classified documents case rejected,-0.53125,-0.8316,-0.4
CNN,Trump,A Latino voter on why he supports Trump despite his rhetoric,0.0,0.3612,0.0
CNN,Trump,Trump suffers setbacks in efforts to shut down two of the criminal cases against him,-0.4,-0.7579,-0.38518518518518513
CNN,Trump,Fact check: Trump falsely claims that appeals court said ‘you won’ the civil fraud case he lost,-0.8,-0.7269,-0.4000000000000001
CNN,Trump,Trump allies in Georgia election case consider seeking gag order on DA Fani Willis,-0.3,-0.34,0.0
CNN,Trump,Why ex-Trump WH lawyer doesn’t buy Judge Cannon’s ‘incompetence’,0.0,0.0,0.0
CNN,Trump,Trump falsely claims that appeals court said ‘you won’ the civil fraud case he lost,-1.0,-0.7269,-0.4000000000000001
CNN,Trump,Judge denies Trump’s motion to delay NY hush money trial,-0.2,-0.6249,0.0
CNN,Trump,Trump and allies pressure Nebraska to change how it awards electoral votes,0.0,0.2023,0.0
CNN,Trump,Trump makes unexpected declaration when probed about a six-week abortion ban in Florida,0.0,-0.5574,0.1
CNN,Trump,Trump allies in Georgia election case consider seeking gag order\xa0on DA Fani Willis,-0.7,-0.34,0.0
CNN,Trump,Trump posts $175 million bond in New York civil fraud case as he appeals,0.0,-0.5859,0.13636363636363635
CNN,Trump,Why is there nostalgia for the Trump economy in the battleground states?,0.0,-0.4019,0.0
CNN,Trump,Why this former Trump lawyer doesn’t buy Judge Cannon’s ‘incompetence’,-0.5,0.0,0.0
CNN,Trump,Trump says Israel needs to ‘finish what they started’ and said war with Hamas is ‘taking a long time’,0.0,-0.5994,-0.05
CNN,Trump,‘It is what it is’: Latino voter on why he supports Trump despite his language,0.2,0.3612,0.0
