channel,target,headline,sentiment_gemini,sentiment_vader,sentiment_textblob
CNN,Biden,See Jordan’s reaction when a Democrat dares the GOP to impeach Biden,0.0,0.0,0.0
CNN,Biden,"Apple will be sued by the Biden administration in a landmark antitrust lawsuit, sources say",0.0,-0.1531,0.0
CNN,Biden,‘They know I’m not a liar’: Ex-Giuliani associate rips GOP for Biden impeachment inquiry,0.14,0.0,0.0
CNN,Biden,"Thousands shelter from Kyiv missile barrage, hours after Biden’s national security adviser visits",0.0,0.34,0.0
CNN,Biden,Ex-Giuliani associate rips GOP for Biden impeachment inquiry,0.0,0.0,0.0
CNN,Biden,The ex-president’s campaign saw an uptick in donations in February but failed to match the fundraising pace set by Biden,-0.25,-0.6652,-0.5
CNN,Biden,Thousands shelter from Kyiv missile barrage after Biden’s national security adviser visits,0.0,0.34,0.0
CNN,Biden,What Biden needs to know about Rafah,0.0,0.0,0.0
CNN,Trump,Panic mode sets in for Trump as he faces deadline for massive bond,0.0,-0.5106,0.0
CNN,Trump,Hear how Melania Trump responds when reporter asks her about returning to campaign trail,0.0,0.0,0.0
CNN,Trump,The push to put Trump back in the White House is getting a boost from people he pardoned before leaving,0.0,0.5574,0.0
CNN,Trump,New York Attorney General takes initial step to prepare to seize Trump assets,0.0,0.1779,0.062121212121212126
CNN,Trump,Trump’s White House run gets a boost from people he pardoned,0.0,0.5574,0.0
CNN,Trump,Trump calls NY attorney general’s bond suggestions ‘impractical and unjust’,0.0,0.0,0.05000000000000002
CNN,Trump,"Trump could get $3 billion richer, bit it’s unlikely to solve his cash crunch",0.0,0.6369,-0.5
CNN,Trump,Filings suggest the state is preparing to try to seize Trump’s golf course and private estate near NYC,0.0,0.0,0.05
CNN,Trump,"Trump needs a half billion dollars, and fast",0.0,0.0,0.016666666666666677
CNN,Trump,Campaign filings show steep price of Trump’s legal troubles,0.0,-0.3612,0.2
CNN,Trump,"Trump could get $3 billion richer, but it’s unlikely to solve his cash crunch",0.0,0.5267,-0.5
CNN,Trump,Judge allows Trump and co-defendants to appeal order letting Fani Willis continue on 2020 election case,0.0,0.0,0.0
CNN,Trump,The owner of Trump’s struggling social media platform Truth Social is on the cusp of going public following years of legal and regulatory obstacles,0.0,-0.3818,0.036111111111111115
