channel,target,headline,sentiment_gemini,sentiment_vader,sentiment_textblob
CNN,Biden,Biden criticizes Netanyahu’s approach to war with Hamas as mistake,0.0,-0.8271,0.0
CNN,Biden,Biden administration preparing to\xa0prevent Americans from using Russian-made software over national security concern,0.0,0.34,0.0
CNN,Biden,Bidens roll out the diplomatic –\xa0and literal – red carpet for Japan state visit,0.0,0.0,0.0
CNN,Biden,Biden says Netanyahu’s approach to war is ‘a mistake’,0.0,-0.5994,0.0
CNN,Biden,Visits from Japanese and Filipino leaders highlight Biden’s efforts to blunt China’s aggression,0.0,0.0516,0.0
CNN,Biden,"Among all the possible arguments for Biden, Democrats only need to make one",0.0,-0.4019,0.0
CNN,Biden,Biden\xa0to give Taiwan’s TSMC $6.6 billion to ramp up US chip production,0.0,0.0,0.0
CNN,Biden,Biden hosts Japanese PM for state visit that sends a message to China,0.0,0.0,0.0
CNN,Biden,Biden administration officials believe Netanyahu’s\xa0claim a Rafah invasion date has been set\xa0is bluster,0.0,0.0,0.0
CNN,Trump,Trump Media stock ‘completely untethered to fundamental value’,-0.3,0.0,0.1
CNN,Trump,British Foreign Secretary David Cameron meets with Trump ahead of DC visit,0.0,0.0,-0.0625
CNN,Trump,Trump is just days from his first criminal trial after latest legal gambit fails,-0.5,-0.6908,0.010000000000000009
CNN,Trump,Legal expert explains why Trump’s lawsuit against judge in hush money case is allowed,0.0,-0.1027,0.2
CNN,Trump,"Witnesses in Trump classified documents case will remain secret, judge orders",0.0,0.0,-0.4
CNN,Trump,Trump Media stock sinks to post-merger low,-0.5,-0.2732,-0.05
CNN,Trump,Maggie Haberman reacts to Trump’s abortion statement,0.0,0.0,0.0
CNN,Trump,13 times\xa0Trump’s abortion position shifted over the last 25 years,-0.65,0.0,0.0
CNN,Trump,Appeals judge denies Trump’s request to delay start of hush money trial,-0.1,-0.6249,0.0
CNN,Trump,Trump suffers another courtroom defeat,-0.6,-0.7269,-0.6
FOX,Biden,Biden hopes to turn around 2024 chances with appeal to 'a force to be reckoned with',0.0,0.5574,0.0
FOX,Biden,Biden admin enacts first-ever PFAS 'forever chemical' limits on drinking water,0.0,0.0,0.0
FOX,Biden,Joe Rogan: President Biden Will Drop Out Of Race In...,0.0,-0.2732,0.0
FOX,Biden,Republican senator slams 'unserious' efforts by Congress to hold Biden accountable,0.0,0.0,0.0
FOX,Biden,Woman who stole and sold Ashley Biden's diary learns her fate,0.0,0.0,0.0
FOX,Biden,WH downplays Biden accusing GOP of 'killing millions' by terminating Affordable Care Act,0.0,-0.4404,0.0
FOX,Biden,How It Started ... How It's Going: Inflation-adjusted hourly wages lower today than when Biden took office,0.0,-0.296,0.0
FOX,Biden,Jemele Hill accuses The Rock of ‘political cowardice’ for not endorsing Joe Biden,-0.5,-0.34,0.0
FOX,Biden,White House on defense after Biden seemed to accuse GOP of 'killing millions of Americans’,0.0,-0.6908,0.0
FOX,Biden,AG files lawsuit to block Biden's latest student loan handout,-1.0,-0.5859,0.5
FOX,Biden,Dems voice Israel-Hamas war concerns as Biden looks to strike balance during campaign,0.0,-0.6597,0.0
FOX,Biden,Black Georgia voters abandoning Biden say they're sending message on Gaza: 'Democrats should listen',0.0,-0.3818,-0.16666666666666666
FOX,Biden,'Black-ish' Actress Warns We Must Vote For Biden To Keep Black People Out Of Camps,0.0,-0.1027,-0.16666666666666666
FOX,Biden,"Biden's name may not appear on another state's ballot, officials warn",0.0,-0.1027,0.0
FOX,Biden,"Florida woman who stole, sold Biden's daughter's diary sentenced to one month in prison",0.0,-0.5267,0.0
FOX,Biden,"NPR editor blasts outlet's coverage of Hunter Biden, Russiagate",-0.6,0.0,0.0
FOX,Biden,Inflation-adjusted hourly wages lower today than when Biden took office,-0.6,-0.296,0.0
FOX,Biden,Biden accused of 'shredding the Constitution' with new student loan bailouts: 'A stunning act of contempt',-0.75,-0.5267,0.3181818181818182
FOX,Biden,Biden hints at possible executive order to effectively shut down the border,-0.5,0.4404,0.14814814814814814
FOX,Biden,Biden's former chief of staff reportedly ripped into president for ignoring inflation,-0.5,-0.4019,0.0
FOX,Biden,"The Rock displayed 'political cowardice' by not endorsing Biden, former ESPN anchor claims",-0.5,0.0,0.0
FOX,Biden,"Biden could be left off Alabama's general election ballot if key deadline is missed, election official warns",-0.3,-0.3818,0.016666666666666673
FOX,Biden,Stuart Varney: Biden is giving away the country to get your vote,-1.0,0.34,0.0
FOX,Biden,"NPR editor blasts own outlet's coverage of Hunter Biden, COVID, Russiagate",-0.5,0.0,0.6
FOX,Biden,SEAN HANNITY: Democrats are having trouble stomaching Biden,-0.4490431137084961,-0.4019,-0.2
FOX,Biden,Dems lay out Israel-Hamas war concerns as Biden looks to strike balance on campaign,0.0,-0.6597,0.0
FOX,Biden,Federal Reserve cutting rates that could benefit Biden ahead of Election Day,-0.2,0.3612,-0.6
FOX,Biden,WATCH LIVE: Biden remarks on proposed child care spending,0.0,0.4939,0.13636363636363635
FOX,Biden,7 more states sue to block Biden's student loan handout plan as lawsuits pile up,-0.4,-0.5423,0.5
FOX,Biden,Rogan makes brutal prediction about Democrats' plans for Biden ahead of 2024 election,-0.5,-0.6249,-0.875
FOX,Biden,Biden's former chief of staff gets heated in leaked audio over White House ignoring inflation: report,-0.3,-0.6124,0.0
FOX,Biden,Ex-ESPN reporter calls out The Rock not endorsing Biden again despite backing him in 2020,-0.3,-0.0191,0.0
FOX,Biden,"GREG GUTFELD: Most of us have eclipse sickness year-round, except we call it Joe Biden's America",-0.339,0.0,0.5
FOX,Biden,LARRY KUDLOW: Lloyd Austin's defense of Israel is just what Joe Biden should be doing,0.8,0.128,0.0
FOX,Biden,Undecided battleground voters unanimously blast Biden on economy: 'Absolutely disastrous',-1.0,-0.8313,-0.7
FOX,Biden,"Biden's new diversity czar calls to destroy tradition, 'White dominance': 'Failed historical model'",-1.0,-0.7783,-0.11272727272727275
FOX,Biden,Woman who stole and sold Ashley Biden's personal diary learns her fate,-0.522,0.0,0.0
FOX,Biden,NPR Editor Details How Company Dismissed Hunter Biden Laptop Story To Help Biden Win Election,-1.0,0.7579,0.8
FOX,Biden,What to know about Biden's latest attempt at student loan cancellation,0.0,0.0,0.5
FOX,Biden,"Biden's new diversity czar calls to destroy tradition, 'White dominance'",-0.85,-0.4019,-0.02121212121212122
FOX,Biden,"Biden criticizes Netanyahu over war against Hamas, says Israeli leader making a 'mistake'",-0.5,-0.743,0.0
FOX,Biden,Black voters abandoning Biden vow to send message to Democratic Party in 2024,-0.85,0.0258,-0.16666666666666666
FOX,Biden,"The Rock Doesn't Owe Joe Biden, Democrats For Being Normal Politically | Bobby Burack",0.0,0.0,0.075
FOX,Biden,"Biden's turn on Israel, the great COVID cover-up, and more from Fox News Opinion",-0.5,0.6249,0.65
FOX,Biden,Biden’s student loan handout plan hits major roadblock as seven states take action,-0.6667,0.0,0.08125
FOX,Biden,Black voters vow to abandon Biden in crucial state where he won by a razor-thin margin,-0.5,0.2023,-0.08333333333333333
FOX,Biden,Biden's stealth but clever strategy to maintain control of the White House,0.7,0.5927,0.08333333333333333
FOX,Trump,USA Today reportedly changes headline on Trump’s abortion stance after WH press call,0.0,0.0,0.0
FOX,Trump,Trump is wrong: Abortion opponents are looking for a national leader,-0.2,-0.4767,-0.5
FOX,Trump,ABC sitcom star under fire after losing it over a potential Trump 2024 win in unhinged rant,-0.5,-0.3818,0.4
FOX,Trump,Billionaire who helped Trump with $175M bond says he 'probably didn't charge enough',0.3,0.0,0.0
FOX,Trump,ABC sitcom star under fire for crazed rant comparing Trump to Hitler,-1.0,-0.6486,0.0
FOX,Trump,Trump request to delay NY hush money trial denied by appeals court judge,-0.5,-0.6369,0.0
FOX,Trump,Trump is wrong: abortion opponents are looking for a national leader,-0.325,-0.4767,-0.5
FOX,Trump,"Fani Willis should face gag order in Trump election case, says legal analyst",-1.0,-0.2263,0.2
FOX,Trump,ABC sitcom star under fire for hysterical reaction to potential Trump 2024 election win,-0.1,0.3182,-0.06666666666666665
FOX,Trump,Heavyweight foreign politician meets with Trump at Mar-a-Lago in surprise visit,0.0,0.2732,-0.125
FOX,Trump,Judge in Trump classified docs case grants Jack Smith request to redact witness names,0.0,0.2263,0.0
FOX,Trump,Trump is right: Republicans need to reframe the abortion debate,0.18,0.0,0.2857142857142857
FOX,Trump,USA Today reportedly changes headline on Trump’s abortion stance,0.0,0.0,0.0
NBC,Biden,The reality check behind Biden's big abortion promise,-1.0,0.3182,-0.2
NBC,Biden,Biden's strategy to reach tuned-out voters: Content over crowds,0.41,0.0258,0.0
