channel,target,headline,sentiment_gemini,sentiment_vader,sentiment_textblob
CNN,Trump,CNN Katilan Collins reacts to Trump’s statement,0.0,0.0,0.0
CNN,Trump,"Judge says the infamous Access Hollywood tape cannot be shown, but model who says she had an affair with Trump can testify",0.0,0.0,-0.5
CNN,Trump,Elie Honig: Which case is the biggest threat to Trump?,0.0,-0.5267,0.0
CNN,Trump,Fact Check: Trump falsely claims judge won’t let him attend son’s high school graduation next month,0.0,0.0,-0.08000000000000003
CNN,Trump,What we learned on Day 1 of Trump’s hush money trial,0.0,0.0,0.0
CNN,Trump,‘Bored and fidgety’: Haberman breaks down Trump’s demeanor in court,0.0,0.0,-0.3277777777777778
CNN,Trump,"Your questions about Trump’s trial, answered",0.0,0.0,0.0
CNN,Trump,Scaramucci says there’s ‘zero percent chance’ Trump will testify. Hear why,0.0,0.0,0.0
CNN,Trump,Haberman says Trump ‘tried to make eye contact’ with prospective jurors,0.0,0.0,0.0
CNN,Trump,Ex-Trump attorney explains strategy he thinks could lead to a ‘victory’ for Trump in hush money trial,0.0,0.0,0.0
CNN,Trump,Why Scaramucci says there’s ‘zero percent chance’ Trump will testify,0.0,0.0,0.0
CNN,Trump,SCOTUS to hear Jan. 6 case that could undermine charges against over 350 rioters and limit charges against Trump,0.0,-0.6597,0.0
CNN,Trump,CNN Kaitlan Collins reacts to Trump’s statement,0.0,0.0,0.0
CNN,Trump,Trump:  Johnson is ‘doing a very good job’,0.0,0.4927,0.9099999999999999
CNN,Trump,Jury selection continues in Trump’s historic hush money trial,0.0,0.0,0.0
CNN,Trump,Legal experts answer viewer questions about Trump hush money trial,0.0,0.128,0.2
CNN,Trump,"Many jurors say they can’t be fair and impartial, Trump accused of violating gag orders and more that we learned on Day 1",0.0,-0.7003,0.5666666666666667
CNN,Trump,European diplomats in DC scramble to gain access to Trump allies for insights,0.0,0.5267,0.0
CNN,Trump,"Many prospective jurors say they can’t be fair and impartial, Trump accused of violating gag order and more takeaways",0.0,-0.7003,0.5666666666666667
CNN,Trump,Trump will juggle appearances in courtroom and on campaign trail as hush money trial begins,0.0,0.0,0.0
CNN,Trump,Trump has an unusual request on trial Day 1,0.0,0.0,0.2
CNN,Trump,Inside Trump’s first day on trial in Manhattan criminal court,0.0,-0.5267,-0.07500000000000001
CNN,Trump,Trump is on trial for a hush money payment to adult film star Stormy Daniels in 2016. Here’s what happened,0.0,0.0,0.1
CNN,Trump,Who is Juan Merchan? What to know about the judge in Trump’s hush money case,0.0,0.0,0.0
CNN,Trump,‘Biting his lower lip’: CNN reporter describes Trump’s demeanor in court,0.0,-0.296,0.0
CNN,Trump,‘Bored and fidgety’: NYT reporter breaks down Trump’s demeanor in court,0.0,0.0,-0.3277777777777778
CNN,Trump,The world rushes to court Trump,0.0,0.0,0.0
CNN,Trump,Kaitlan Collins fact-checks Trump’s statement ahead of entering court,0.0,0.0,0.0
CNN,Trump,‘Bored and fidgety’: Haberman breaks down Trump’s demeanor in courtroom,0.0,0.0,-0.3277777777777778
CNN,Trump,Ex-Trump attorney describes tactic he thinks could lead to a ‘victory’ for Trump in hush money trial,0.0,0.0,0.0
CNN,Trump,Here are the key players in Trump’s hush money trial,0.0,0.0,0.0
CNN,Trump,"Judge rules on ‘Access Hollywood’ tape, Trump accused of violating gag order and more takeaways",0.0,-0.7964,0.5
CNN,Trump,Trump’s extreme rhetoric is a mainstay of his 2024 campaign. Much of it could become a reality if he wins another term,0.0,0.5719,0.125
FOX,Biden,Kirby challenged to defend Biden's 'dreadful' international record,0.0,-0.1027,-0.5
FOX,Biden,Biden Campaign To Hire 'Up-to-Date Vaccinated' DEI Director For $120k Salary,0.0,0.0,0.0
FOX,Biden,Biden's past comment about niece's China role could haunt re-election campaign,-0.5,-0.4019,-0.25
FOX,Biden,Biden hosts Czech leader at White House to promote Ukraine aid amid holdup in Congress,0.0,0.3818,0.0
FOX,Biden,Republicans pressure Biden DOJ to probe anti-Israel agitators,0.0,-0.6486,0.0
FOX,Biden,Biden faces heat as accusations fly over leaked Netanyahu call,-0.5,-0.5574,0.8
FOX,Biden,Biden under fire as accusations fly over leaked Netanyahu call,-0.5,-0.7184,0.8
FOX,Biden,Biden’s moral equivalency between Israel and the Palestinians will result in failure — again,-0.8,-0.5106,-0.15833333333333335
FOX,Biden,NPR scandal opens floodgates to new CEO’s support for Clinton and Biden,-0.1,-0.0516,0.13636363636363635
