comment,label
what the fuck is wrong with these judges with their draconian punishments just because its trump how transparent and uncalled for i hope when he becomes president again he can do something about these ridiculous democrats they try to bankrupt trump but let murderers back out onto the streets jeesh,0
will the nys dept of taxation and irs sue them now,0
trump is a perfect example of a looser he went after cohen the guy that knew all the dirty dealings how stupid can one get 354millions here about 90millions for the defamation case i hope china or the saudis can bail him out,0
who is he supposed to pay there wasnt a victim and he paid all the bank loans just another bs crazy over the top politival stunt,0
ridiculous it will be appealed and overturned as it should be the judge will be investigated,0
this cvnt has never paid his bills convict45 is guilty af he will need diapers in prison,0
i will laugh when trump is president again these liberal judges are out of their minds we the people are seeing what you are trying to do,0
bank fraud is a crime crime are done by criminals now to the criminal cases criminals need to be in jail,0
judge engoron should have made the ban from doing business in new york at least five years just in case the burnt orange buffoon actually makes it back god forbid into the oval office it would provide one impediment to any financial shenanigans or emolument tomfoolery for his last two years in office personally i think they should ban him for life,0
it was common knowledge from the very beginning that the judge a trump hater had every intention to rule against trump new yorks justice system is as corrupt as those of any banana republic,0
this so called judg should be put on trial and sent to chain gang camp he is a disgrace,0
he was found guilty cause he committed a crime yall better wake up,0
all those legal experts from trump university will come to the rescue certainly,0
everyone knew this was going to happen when the judge automatically finds trump etc guilty lol its bs as usual it will work itself out in the long run regardless of what the dems do,0
here we go again another attack by a leftist judge,0
that judge is a pos as all democrats are,0
appealed fkn idiots,0
before the trial they said youre guilty of fraud that kinda says it all doesnt it,0
just like that pay up 335m of course its a democrat ny judge trump family is always liable in their eyes smh,0
i realize that you koolaid drinkers out there seeing this thinks its great well its not great its actually a travesty of the justice system in america do you koolaid drinkers have any idea what went on in this trial donald trump was given no trial at all he was simply declared guilty by this judge before he even showed up in the court room not given a chance to defend himself at all this hearing was simply to figure out the punishment he was accused of a crime where there was no victim nobody or lender was damaged in any way it was confirmed that every lender was paid back and made money so where is the crime then he was accused of over valuation of real estate having borrowed money on real estate myself it just dont work that way the lenders always do their own appraisals and lend the money accordingly you can hate donald trump all you want but he did absolutely nothing wrong this is just a bunch of haters that do what haters do there is no justice here just hate ill leave you with this if they can get away with this farce on donald trump they can do anything they want to you this is a sad day for our legal system,0
the judge is a fraud trump will appeal we all know how corrupt nyc and state is,0
judge looks like bernies more liberal brother trump didnt stand a chance,0
how is this okay everybody knows that that judge hates donald trump and wanted to put him away and he did or he ordered the 355 or whatever how is that legal how do we know that the judge hates him and is gonna give that order and it just isnt allowed like theres nothing anyone can do about it that seems wrong these judges have way too much power and they need to be knocked down a peg,0
this marxist judge 3high on crack if he even thinks that president trump is ever going to pay that,0
will get thrown out on appeal,0
what a joke of our justice system the case will undoubtedly go to appeal and be overturned,0
the fake news having fun it will be overturned on appeal,0
bs get brandon convicted,0
haha this corrupt crooked dem hack wacko judge is a joke this will all be overturned,0
it is well to remember that when any man denies justice to someone that he hates it prepares the way for justice to be denied to someone that he loves wendell willikie,0
it dont matter how much it will be reversed on appeal,0
it is a scam from the judge,0
and yet no entity has claimed to have been defrauded,0
a judge trial uh jesus hell of a legal expert,0
how repulsive can a judge be as repulsive as cnn toxic poison and all news media,0
plus the costs involved from the suit he brought and lost in the english high court recently,0
judge and biden have the same problem,0
he will never pay a penny of this it will be locked up in appeals for years no evidence was ever presented to convict it is all nonmaterial,0
this is bullshit and a witch hunt this is clearly political and there was now harm to anyone its the job of the bank to verify the values trump is a good business man and if you find trump guilty of this then the judge has to try every other business man total bullshit,0
idiots reporting to idiots watching djt will win on appeal judge a nut case and blew it by making guilty statement before trial,0
everyone in realestate does this kind of thing i can see the courts flooded with cases wasting prosecutorial time that could be better spent on crime,0
justice be done thank goodness,0
hell appeal because its already a farce zero proof that whacko lady cant even remember what year it allegedly happened there is no victim in the loans even the bank executives said so only a judge trial a trump hating judge so its a political attack in an election year,0
this is absurd these demoratz election inference ruling should be banned and struck down by the supreme court once trump appeal this fraudulent verdict,0
this judge needs to be removed from the court,0
she wont see a dime of it that judge needs to be removed hes nothing more than a political activist disguised as a judge oh and cnn is worse than fake news,0
this case will get thrown out the window when he gets a fair and honest court room i mean when the das number one mission is to ruin trump we already knew the out come this was no surprise just like ol fanni her time will come glad to know shallow americans are giddy about this as new york just released an illegal alien gang member on bail for 1 after beating on police officers think for a moment if you did that mean tweets though haha,0
in order for the government to collect the money they will put liens on the trump organization properties by red lighting them then he cant sell them or rent them out any money collected goes straight to the government to pay the judgements,0
this judge was a putz from the beginning i have never seen a judicial departments go after one guy like they have trump,0
corrupt judges going after trump so they can make money off of him for what,0
wow 355 million plus 833 million for the rape when are people going to learn the courts do not order you to pay this type of money unless your guilty these are real crimes that trump thinks he should get away with that fact should prove to the gop that trump will only cause more and more problem and will make his problems those of the united states send this criminal to prison not the white house,0
this is what happens when you have crooked judges this will be overturned on appeal and if i were donald trump i would sell all my ny property and move them all to another state,0
mr donald trump has a good legal attorney team this is just a distraction miniscule to divert him from winning the elections maga never fails,0
yahoo trump baby has a court appointed baby sitter for 3 years its not long enough cause he will never grow up,0
didnt trump get a lifetime ban in ny already in a prior judgement if so is this a reduction to just 3 years or is the lifetime ban superseding,0
such a 100 lawfare case we are now a banana republic,0
stupid judge i dont care it is stupid banks are required to do their own appraisals id appeal then id move my business out of that da state,0
this is not a justice system this is a political hit job biden said he was blaming putin for the death of his political opposition what is biden and the democrat swamp doing to trump,0
the judge convicted trump before the trial started it will get thrown out with the appeal why must everything be so political what happened to fairness and the rule of law moreover there was no victim all the banks were fine with the assessments more evidence of prejudice such a sad thing when the rule of law is misused,0
you guys are so dumb hes going to win this on appeal because theres no victim,0
the judge should be disbarred,0
trump wont pay nothing military tribunals coming soon,0
tell the truth fake news as soon as they go to a different court it all gets thrown out but since youre fake news youll never tell that,0
you people are all crazy go trump save america impeach biden and all the other corrupt politicians get that judge out,0
pocket change for billionaire theliar45 is very very very very rich now its appeal time biden is so successful in manipulating the courts again sarcasm,0
trump wont pay a cent the judge is a crook that has no understanding of the law,0
good im tired of seeing this liar fraudaholeclown get away with murder trump may believe hes above the law and better than everyone but hes not he needs to be held accountable for his crimes just like anybody else would in my opinion i believe trump should be in jail while going to court he has committed enough felonies to be in prison the rest of his life he will blame blame blame its getting old the way he deflects his responsibilityaccountability into president biden get this man out of here,0
to all the happy communistsdemocrats fascists who are applauding this trumps mara lago property is worth over two hundred million dollars the judge said no its only worth 18 million do you really think this is how our justice system should work in america using it to go after political opponents like russia does or china,0
that judge is loony toons,0
anticipating trumps appeal trumps fraud is not a victimless crime when trump corralled lower interest rates we normal folks are squeezed out of that pool our loans cost more most importantly wouldnt everybody be encouraged to cheat wildly overstate valuations that puts the banks and insurance companies at risk this is not a victimless crime especially if left unchecked,0
trumps a lucky fellow doj was asking for 370m and the judge has awarded only 366m against the family as i calculate it jareds 2billion will probably help,0
hey fatty shack dont do the crime if you cant do the time or pay the fine,0
because of mayor adams new york city is broken now the judge is making president trumps family hundreds of millions of dollars because of the incompetent mayor and government of new york city and state that money is going to fund illegal immigrants every landlord has triple the rent because of illegal immigrants its unconstitutional to stop president trump from doing business in new york the democrats are robbing president trumps family,0
love it there still is some semblance of justice left in this country for career criminals suck it donny,0
unprecedented trial case against trump never anyone else like this just happens to be against the leading candidate vs biden in an election year there was no victims and issues with the bank loans purely political,0
we have biased judges who are making unconstitutional judgements against the bill of rights but also against a former president that has irreparable damage on all presidents ability to make decisions affecting the nation and the world without fear of prosecution after they leave the office and judges who violate us citizens constitutional and civil rights they are laying the fountain for tyranny in the united states of america,0
what else did trump have in common in both of his civil trials a very pretty defensive lawyer besides the judgements with lots of zeros,0
this judge is crupt,0
the judge should be disbarred leftist activist,0
don the con has experience with creating big losses don the con has managed to bankrupt three casinos trump foundation and trump university and he has to pay 5000000 in the first defamation suit and 83000000 in the second defamation suit and 354000000 in the tax evasion suit this should not come as a surprise especially when he hires imbeciles like alina habba babba as his lawyer,0
this trial is fraud so i wouldnt be surprised if trump does not turn around and sue bragg and the judge,0
trump and his goons still got off easy even with the fines im certain if i defrauded new york of 5k id get jail time and a lifetime ban from being able to run a business in new york im also sure his cult will be more than happy to pay of that fine,0
of course there will be an appeal i doubt that the appeal will go anywhere except to delay the effects of the decision if i apply for a mortgage the lender will want to see all my income and asset related documents and those documents will be verified before giving me a loan what the lender sees will determine the interest i pay on that loan if i can deceive that lender to get a lower interest rate than if they knew the truth then i win and they lose revenue not only do they lose the interest revenue as a company but all of the shareholders lose revenue as well it doesnt matter if i paid the debt on time they are still losing money compared to what they would have made if they had known the truth,0
trump wont be an officer for the trump organization soon once he becomes the president for another 4 years this is a joke and everyone with half a brain knows it the america becomes a laughing stock for the world because of these lunatic judges and prosecutors,0
lmfao all the morons here in the comment section dont understand that this judge has had every appealed case over turned enjoy it while you can youre vindictive behavior wont be satiated,0
the victims are the banks and insurance cos that got screwed out of profits the victims are the people of ny whos taxes had to offset what irs and citystate didnt get to put towards the cost of services places like chump tower benefit from the victim is the economy of ny which like everywhere else on earth relies on money changing hands cnn reporting fake news as usual by suggesting there were no victims give your head or pimple a shake,0
criminal verdict shame on new york,0
not a fan of trump but this wont stick this will be appealed and overturned you cant go after this man with half assed biased charges he was claimed guilty before this even started might make you feel good this weekend but when the dust settles this will be thrown out,0
justice,0
america happend in eastern europe thouse judges killed milions persecuting opponents we come from there president yrump america is more valuable than zer will vote for you by millions 2024 election is yours investigate next year all that persecuted you and terrorizing our country z,0
another kangaroo court decision in our banna republic these criminal judges and das need to be put in prison they would not let trump speak nor allow a jury of his peers he has the right for both and they decided that trump was guilty before the case even started i do not accept this verdict and want accountability for the twotier justice system this insanity must end,0
judge has lost his mind l james and nyc loses,0
what everyone keeps ignoring is that its not only the banks who were defrauded the taxpayers were both in new york and the rest of the country 1 by reducing the valuation of the properties for tax purposes he paid lower property tax to the localities 2 by inflating the valuations for loans he reduced the profits of the banks which is where the 370m came from and that reduced the taxes that the banks paid to the city state and federal governments you and i paid for these tax shortfalls out of our own pockets,0
trump was found guilty of fraud and must pay a fine of 355 billion everyone knows that he is a greedy swindler,0
this judge needs to be investigated for his ties to the biden crime family,0
hahahahahaha why do people waste their time so president donald trump is appealing this case so its going to wind up in the supreme court and then throne straight into the garbage and president donald trump will be our 47 commander in chief by then what is wrong with the ignorant people that voted for the treasonous trailer benedict arnold joe biden they think they living in the twilight zone in another dimension what a bunch of ignorant people to believe anything,0
